zoop.name,rotifer,cladoceran,copepod
 'zoop_initial', 1, 1, 1
 'min_zoo', 0.03, 0.03, 0.03
 'Rgrz_zoo',0.88,1.43,1.65
 'fassim_zoo', 0.9, 0.9, 0.9
 'Kgrz_zoo', 1, 1, 1
 'theta_grz_zoo', 1.08, 1.08, 1.08
 'Rresp_zoo',0.11,0.33,0.22
 'Rmort_zoo',0.066,0.088,0.011
 'ffecal_zoo',0.055,0.044,0.022
 'fexcr_zoo', 0.15, 0.02, 0.02
 'ffecal_sed',0.33,0.44,0.88
 'theta_resp_zoo', 1.08, 1.08, 1.08
 'Tstd_zoo', 20, 20, 20
 'Topt_zoo',27.5,30.8,30.8
 'Tmax_zoo',33,38.5,38.5
 'saltfunc_zoo', 1, 1, 1
 'Smin_zoo', 0, 0, 0
 'Smax_zoo', 35, 35, 35
 'Sint_zoo', 10, 10, 10
 'INC_zoo',0.055,0.242,0.165
 'IPC_zoo',0.00198,0.0264,0.01375
 'DOmin_zoo', 2, 2, 2
 'Cmin_grz_zoo', 5, 5, 5
 'num_prey', 3, 3, 3
 'prey(1)%zoop_prey', 'PHY_green', 'PHY_green', 'ZOO_rotifer'
 'prey(1)%Pzoo_prey', 0.1, 0.5, 0.5
 'prey(2)%zoop_prey', 'OGM_poc', 'PHY_diatom', 'ZOO_cladoceran'
 'prey(2)%Pzoo_prey', 0.8, 0.3, 0.4
 'prey(3)%zoop_prey', 'PHY_diatom', 'OGM_poc', 'OGM_poc'
 'prey(3)%Pzoo_prey', 0.1, 0.2, 0.1
